"operation","parameter","simple","input.size","subset.ratio","overlap.ratio","range.a","range.b","range.mirror","epsilon","extrapolation.range"
"op-div","extrapolation.range",FALSE,2,0.5,0,100,1000,FALSE,1e-05,"U[100,1000]"
"op-div","extrapolation.range",FALSE,2,0.5,0,-15,-5,FALSE,1e-05,"U[-15,-5]"
"op-div","extrapolation.range",FALSE,2,0.5,0,5,15,FALSE,1e-05,"U[5,15]"
"op-div","extrapolation.range",FALSE,2,0.5,0,-100,-50,TRUE,1e-05,"U[-100,-50] & U[50,100]"
"op-div","extrapolation.range",FALSE,2,0.5,0,-200,-100,TRUE,1e-05,"U[-200,-100] & U[100,200]"
