range,range type,operation,failure rate (1E-4)%,failure rate (1E-5)%,failure rate (1E-6)%,failure rate (1E-7)%,failure rate (1E-8)%,failure rate (equality)%,train type,target type
"U[1, 2]",,div,0.0,0.0,0.0,0.0,0.0,31.3,torch.float32,torch.float32
"U[1.1, 1.2]",,div,0.0,0.0,0.0,0.0,0.0,39.5,torch.float32,torch.float32
"U[10, 20]",,div,0.0,0.0,0.0,0.0,0.0,37.6,torch.float32,torch.float32
"U[-40, -20]",,div,0.0,0.0,0.0,0.0,0.0,36.1,torch.float32,torch.float32
"U[-6, -2]",,div,0.0,0.0,0.0,0.0,0.0,35.4,torch.float32,torch.float32
"U[-6.1, -1.2]",,div,0.0,0.0,0.0,0.0,0.0,33.6,torch.float32,torch.float32
"U[-2, -0.2]",,div,0.0,0.0,0.0,0.0,0.0,36.0,torch.float32,torch.float32
"U[[-6, -2], [2, 6]]",,div,0.0,0.0,0.0,0.0,0.0,35.699999999999996,torch.float32,torch.float32
"U[0.2, 2]",,div,0.0,0.0,0.0,0.0,0.0,33.300000000000004,torch.float32,torch.float32
"U[2, 6]",,div,0.0,0.0,0.0,0.0,0.0,34.5,torch.float32,torch.float32
"U[1.2, 6]",,div,0.0,0.0,0.0,0.0,0.0,32.4,torch.float32,torch.float32
"U[20, 40]",,div,0.0,0.0,0.0,0.0,0.0,37.6,torch.float32,torch.float32
