range,range type,operation,failure rate (1E-4)%,failure rate (1E-5)%,failure rate (1E-6)%,failure rate (1E-7)%,failure rate (1E-8)%,failure rate (equality)%,train type,target type
"U[1.1, 1.2]",,div,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[10, 20]",,div,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[-40, -20]",,div,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[-6, -2]",,div,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[-6.1, -1.2]",,div,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[-2, -0.2]",,div,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[[-6, -2], [2, 6]]",,div,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[0.2, 2]",,div,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[2, 6]",,div,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[1.2, 6]",,div,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
"U[20, 40]",,div,0.0,0.0,0.0,0.0,0.0,0.0,torch.float64,torch.float64
